,time_of_experiment,scanner_status,advertiser_status,RSSI,distance
0,2020-07-17 19:11:09.392771,3,3,-65,4
0,2020-07-17 19:11:11.398437,3,3,-61,4
0,2020-07-17 19:11:13.403476,3,3,-66,4
0,2020-07-17 19:11:15.408473,3,3,-61,4
0,2020-07-17 19:11:17.413448,3,3,-61,4
0,2020-07-17 19:11:19.418513,3,3,-65,4
0,2020-07-17 19:11:21.423477,3,3,-65,4
0,2020-07-17 19:11:22.442197,3,3,-65,4
0,2020-07-17 19:11:24.447308,3,3,-65,4
0,2020-07-17 19:11:25.674780,3,3,-61,4
0,2020-07-17 19:11:27.679746,3,3,-64,4
0,2020-07-17 19:11:29.684872,3,3,-65,4
0,2020-07-17 19:11:31.689850,3,3,-63,4
0,2020-07-17 19:11:33.357365,3,3,-62,4
0,2020-07-17 19:11:35.362297,3,3,-63,4
0,2020-07-17 19:11:37.132343,3,3,-62,4
0,2020-07-17 19:11:38.166059,3,3,-64,4
0,2020-07-17 19:11:40.171140,3,3,-62,4
0,2020-07-17 19:11:42.057439,3,3,-62,4
0,2020-07-17 19:11:44.062330,3,3,-62,4
0,2020-07-17 19:11:46.067489,3,3,-62,4
0,2020-07-17 19:11:48.072383,3,3,-64,4
0,2020-07-17 19:11:50.077434,3,3,-63,4
0,2020-07-17 19:11:52.082451,3,3,-63,4
0,2020-07-17 19:11:53.732392,3,3,-63,4
0,2020-07-17 19:11:55.737458,3,3,-64,4
0,2020-07-17 19:11:57.742442,3,3,-62,4
0,2020-07-17 19:11:58.032452,3,3,-63,4
0,2020-07-17 19:12:00.037462,3,3,-63,4
0,2020-07-17 19:12:02.011211,3,3,-62,4
0,2020-07-17 19:12:04.016267,3,3,-63,4
0,2020-07-17 19:12:06.021281,3,3,-64,4
0,2020-07-17 19:12:07.452493,3,3,-63,4
0,2020-07-17 19:12:09.457499,3,3,-62,4
0,2020-07-17 19:12:11.462567,3,3,-62,4
0,2020-07-17 19:12:12.060057,3,3,-64,4
0,2020-07-17 19:12:14.065042,3,3,-63,4
0,2020-07-17 19:12:16.070045,3,3,-63,4
0,2020-07-17 19:12:17.487606,3,3,-63,4
0,2020-07-17 19:12:19.492586,3,3,-64,4
0,2020-07-17 19:12:21.497586,3,3,-63,4
0,2020-07-17 19:12:23.502659,3,3,-63,4
0,2020-07-17 19:12:25.507660,3,3,-63,4
0,2020-07-17 19:12:27.512630,3,3,-63,4
0,2020-07-17 19:12:29.517711,3,3,-62,4
0,2020-07-17 19:12:30.492655,3,3,-62,4
0,2020-07-17 19:12:32.497701,3,3,-63,4
0,2020-07-17 19:12:34.502673,3,3,-62,4
0,2020-07-17 19:12:35.101429,3,3,-62,4
0,2020-07-17 19:12:37.106545,3,3,-64,4
0,2020-07-17 19:12:39.111607,3,3,-64,4
0,2020-07-17 19:12:41.116532,3,3,-63,4
0,2020-07-17 19:12:42.371546,3,3,-63,4
0,2020-07-17 19:12:44.376575,3,3,-62,4
0,2020-07-17 19:12:46.381522,3,3,-65,4
0,2020-07-17 19:12:47.182816,3,3,-65,4
0,2020-07-17 19:12:49.187798,3,3,-62,4
0,2020-07-17 19:12:51.192874,3,3,-66,4
0,2020-07-17 19:12:53.197821,3,3,-65,4
0,2020-07-17 19:12:55.202836,3,3,-60,4
0,2020-07-17 19:12:57.207943,3,3,-65,4
0,2020-07-17 19:12:59.212883,3,3,-65,4
0,2020-07-17 19:13:01.217969,3,3,-66,4
0,2020-07-17 19:13:03.222987,3,3,-65,4
0,2020-07-17 19:13:05.227967,3,3,-65,4
0,2020-07-17 19:13:07.232957,3,3,-65,4
0,2020-07-17 19:13:09.238002,3,3,-65,4
0,2020-07-17 19:13:11.242985,3,3,-61,4
0,2020-07-17 19:13:13.247990,3,3,-66,4
0,2020-07-17 19:13:15.253048,3,3,-65,4
0,2020-07-17 19:13:17.258080,3,3,-66,4
0,2020-07-17 19:13:19.263065,3,3,-62,4
0,2020-07-17 19:13:21.268096,3,3,-65,4
0,2020-07-17 19:13:23.273119,3,3,-66,4
0,2020-07-17 19:13:25.278097,3,3,-60,4
0,2020-07-17 19:13:27.283089,3,3,-65,4
0,2020-07-17 19:13:29.288167,3,3,-65,4
0,2020-07-17 19:13:31.293154,3,3,-61,4
0,2020-07-17 19:13:33.298320,3,3,-66,4
0,2020-07-17 19:13:35.303404,3,3,-66,4
0,2020-07-17 19:13:37.308222,3,3,-65,4
0,2020-07-17 19:13:39.313224,3,3,-60,4
0,2020-07-17 19:13:41.318309,3,3,-65,4
0,2020-07-17 19:13:43.323253,3,3,-60,4
0,2020-07-17 19:13:45.328263,3,3,-66,4
0,2020-07-17 19:13:47.333323,3,3,-61,4
0,2020-07-17 19:13:49.338387,3,3,-60,4
0,2020-07-17 19:13:51.343348,3,3,-65,4
0,2020-07-17 19:13:53.348409,3,3,-61,4
0,2020-07-17 19:13:55.353381,3,3,-65,4
0,2020-07-17 19:13:57.358368,3,3,-66,4
0,2020-07-17 19:13:59.363444,3,3,-66,4
0,2020-07-17 19:14:01.368414,3,3,-60,4
0,2020-07-17 19:14:03.373429,3,3,-66,4
0,2020-07-17 19:14:05.378481,3,3,-66,4
0,2020-07-17 19:14:07.383486,3,3,-66,4
0,2020-07-17 19:14:09.388509,3,3,-61,4
0,2020-07-17 19:14:11.393562,3,3,-61,4
0,2020-07-17 19:14:13.398507,3,3,-60,4
0,2020-07-17 19:14:15.403506,3,3,-66,4
0,2020-07-17 19:14:16.582280,3,3,-67,4
0,2020-07-17 19:14:18.587391,3,3,-66,4
0,2020-07-17 19:14:20.024140,3,3,-62,4
0,2020-07-17 19:14:22.029847,3,3,-65,4
0,2020-07-17 19:14:24.034924,3,3,-66,4
0,2020-07-17 19:14:26.039923,3,3,-62,4
0,2020-07-17 19:14:28.044956,3,3,-66,4
0,2020-07-17 19:14:30.050024,3,3,-60,4
0,2020-07-17 19:14:32.054363,3,3,-65,4
0,2020-07-17 19:14:34.059978,3,3,-66,4
0,2020-07-17 19:14:36.065013,3,3,-60,4
0,2020-07-17 19:14:38.069996,3,3,-62,4
0,2020-07-17 19:14:40.075152,3,3,-66,4
